hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,categories,metric,inst_group
-0.01896328892688548,-0.017442932960341273,0.031037380085996213,-0.04089195486989372,-0.06552988688448891,-0.048162630844388876,0.005244091711172905,"(1.43, 1.54)",FIR_2,avg_citations_Q10
-0.023778732490938315,-0.0021633534681949618,0.03194488591014388,-0.045176022450513664,-0.04498232271065672,-0.056815370503726426,0.008648770882085488,"(1.54, 1.59)",FIR_2,avg_citations_Q10
-0.022261871613208695,-0.013421219500515669,0.07833757241883732,-0.04718596190784641,-0.061083348576226326,-0.061830803214036556,0.022536792100901204,"(1.59, 1.66)",FIR_2,avg_citations_Q10
0.0015617620563617152,-0.0020635168659195458,0.04240333951653308,-0.06671987020993242,-0.0668749358269548,-0.07458656790124296,-0.008815441077094643,"(1.66, 1.81)",FIR_2,avg_citations_Q10
-0.005628672424784487,-0.018307360648275095,0.04487951283335678,-0.08043498242703628,-0.07596197074465039,-0.10343075864689177,-0.030148924312639047,"(1.82, 1.91)",FIR_2,avg_citations_Q10
0.004441950598916833,-0.01075276092598676,0.058258439615598956,-0.07773527704010419,-0.08616530001699707,-0.0856250482513069,0.0029032307310894456,"(1.91, 2.15)",FIR_2,avg_citations_Q10
-0.0024917280457562585,-0.018297522256644716,0.06366062807726469,-0.06055678151832766,-0.09279610315108622,-0.06078663052001976,0.014331310299442457,"(2.17, 4.07)",FIR_2,avg_citations_Q10
0.09184228002852213,0.006298515829066265,0.059851755875111934,-0.0669437428741787,2.2934889166048578e-05,-0.08712239062581084,0.1110585022434547,hbcu,FIR_2,hhw
-0.036934642093303216,-0.11631074608604253,0.47847538608079,-0.12274824011381413,-0.1380052298455976,-0.12195486539336475,0.25130874769291944,hbcu,cit_rel_all_IAC,hhw
0.0856071125529736,0.00504172120590618,0.06257731820305512,-0.05097144074955229,0.0015667824984013645,-0.0714524464431262,0.1178019966418109,hbcu,norm_FI_2,hhw
-0.07057846619089037,-0.13827445041720599,0.4194815106057854,-0.12620010373419865,-0.13749458754034016,-0.1263064964732018,0.25705043103209557,hbcu,norm_cit_all_IAC,hhw
-0.0800672267817828,-0.014012388016588773,0.07159008917588117,-0.036214429876564536,-0.10712918623835144,-0.054981481928348064,0.006914531552156156,hsi,FIR_2,hhw
-0.16599789876835402,-0.03411299811346269,0.1545297233499774,-0.12812514822719834,-0.21401944737069545,-0.14810981439471804,-0.08402694199693661,hsi,cit_rel_all_IAC,hhw
-0.09057441115379361,-0.015520810449704991,0.04940546566689674,-0.025400635286467854,-0.09954429763767547,-0.03901388580305842,0.002583799619722882,hsi,norm_FI_2,hhw
-0.1577503077750767,-0.03763359806835076,0.12357106959842001,-0.09850931306622657,-0.2011206156325468,-0.11369440958441568,-0.0628349070342673,hsi,norm_cit_all_IAC,hhw
0.012725509865934681,-0.015674536975443742,-0.08069686721606883,-0.042669603339470674,-0.10857260006299119,-0.036181489449567894,0.01409509589566027,womens,FIR_2,hhw
-0.13704398088073177,-0.14749821189870604,-0.42835161625956386,-0.1498535241912191,-0.20044079007187954,-0.194956114245048,-0.06802738871842517,womens,cit_rel_all_IAC,hhw
-0.0635799954814622,-0.01688682754708526,-0.015118211996138275,0.0031822831270811314,-0.0714765239382914,-0.035200026305346244,0.038033893208577085,womens,norm_FI_2,hhw
-0.006954582227826078,-0.10796779502166332,-0.36062703672633156,-0.06060654919705577,-0.19763146857154645,-0.1071843078506528,-0.05469075412335167,womens,norm_cit_all_IAC,hhw
